TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,TransactionAmount_Category_Encoded,Target
255.26,Debit,San Francisco,Branch,45.0,Doctor,50.00000000000001,1.0,14815.87,0,2
124.76,Debit,Seattle,Branch,49.0,Engineer,45.0,1.0,5764.72,0,2
78.13,Debit,Milwaukee,Branch,26.0,Student,145.0,1.0,900.61,0,0
649.28,Debit,San Jose,ATM,75.0,Retired,137.0,1.0,4875.86,0,2
795.31,Debit,Mesa,ATM,66.0,Doctor,90.0,1.0,7914.879999999999,0,0
335.63,Debit,Oklahoma City,Online,55.0,Retired,215.99999999999997,1.0,1019.39,0,0
328.47,Debit,San Antonio,ATM,63.0,Retired,119.0,1.0,4323.66,0,2
34.02,Debit,Philadelphia,Online,38.0,Doctor,18.999999999999996,1.0,14214.48,0,0
241.42000000000002,Debit,Charlotte,Online,57.0,Doctor,116.00000000000001,1.0,13357.02,0,1
55.32,Debit,Tucson,ATM,19.0,Student,117.0,1.0,241.79000000000002,0,2
304.31,Debit,Louisville,Branch,27.0,Student,33.0,1.0,868.61,0,0
435.27,Debit,Chicago,Branch,74.0,Retired,90.0,1.0,4673.28,0,1
164.49,Debit,Baltimore,Branch,26.0,Student,75.0,1.0,1509.27,0,1
510.23999999999995,Debit,Oklahoma City,Online,19.0,Student,105.0,1.0,781.7,0,0
626.9,Debit,Denver,Online,26.0,Student,138.0,1.0,265.51,0,3
22.01,Debit,Sacramento,Online,41.0,Engineer,175.0,1.0,1335.09,0,2
425.34,Debit,Kansas City,Online,69.0,Retired,121.0,1.0,3907.5399999999995,0,3
424.56,Debit,Omaha,Online,51.0,Engineer,264.0,1.0,5183.85,0,0
85.43,Debit,Virginia Beach,Branch,67.0,Doctor,145.0,1.0,14904.9,0,2
169.5,Debit,San Diego,Branch,28.0,Student,142.0,1.0,918.8799999999999,0,2
104.63,Debit,Omaha,ATM,62.0,Retired,90.0,1.0,4477.78,0,0
316.95,Debit,Mesa,Branch,25.0,Student,83.0,1.0,1324.03,0,0
60.540000000000006,Debit,Columbus,Branch,57.0,Retired,52.00000000000001,1.0,3534.93,0,1
292.56,Debit,Dallas,Branch,68.0,Retired,61.00000000000001,1.0,4638.37,0,1
386.52,Debit,Indianapolis,Branch,48.0,Engineer,28.0,1.0,5630.61,0,3
112.07,Debit,Kansas City,Branch,23.0,Student,51.00000000000001,1.0,930.3,0,3
568.52,Debit,Indianapolis,ATM,46.0,Engineer,151.99999999999997,1.0,5499.91,0,3
263.99,Debit,Dallas,Branch,79.0,Retired,227.0,1.0,4175.02,0,1
349.64,Debit,Las Vegas,Online,48.0,Engineer,226.0,1.0,6651.62,0,3
601.4,Debit,Philadelphia,Branch,56.0,Engineer,104.0,1.0,8458.29,0,0
5.77,Debit,Charlotte,Online,50.0,Doctor,123.99999999999999,1.0,13988.12,0,1
201.33,Debit,Nashville,Branch,42.0,Engineer,186.0,1.0,2585.07,0,0
298.42,Debit,Indianapolis,Branch,56.0,Retired,225.0,1.0,3014.75,0,3
521.06,Debit,Albuquerque,Branch,25.0,Student,128.0,1.0,1951.42,0,1
117.28,Debit,Austin,Online,60.0,Engineer,16.0,1.0,3665.77,0,1
189.12,Debit,Indianapolis,,32.0,Engineer,103.0,1.0,977.01,0,3
133.55,Debit,Atlanta,ATM,44.0,Engineer,220.0,1.0,3846.2800000000007,0,1
143.21,Debit,Dallas,Online,35.0,Engineer,135.0,1.0,6374.82,0,1
24.77,Debit,Boston,ATM,62.0,Retired,55.0,1.0,5866.01,0,1
233.92,Debit,Jacksonville,Online,26.0,Student,280.0,1.0,6537.62,0,3
899.2850000000002,Debit,Indianapolis,Branch,20.0,Student,24.0,1.0,605.9499999999999,0,3
232.12,Debit,,ATM,37.0,Engineer,51.00000000000001,1.0,6689.87,0,2
211.36,Debit,Kansas City,Online,22.0,Student,113.0,1.0,634.17,0,3
91.53,Debit,Milwaukee,Branch,44.0,Doctor,69.00000000000001,1.0,14676.05,0,0
120.29,Debit,Miami,Branch,19.0,Student,77.0,1.0,1362.39,0,0
174.25,Debit,Seattle,Online,50.0,Doctor,67.0,1.0,10528.34,0,2
183.71,Debit,Denver,ATM,38.0,Engineer,102.0,1.0,552.52,0,3
345.39,Debit,Phoenix,,58.0,Engineer,80.0,1.0,6451.96,0,2
899.2850000000002,Debit,Detroit,ATM,63.0,Retired,87.0,1.0,4715.84,0,3
259.91,Debit,Denver,Online,49.0,Doctor,170.0,1.0,7176.86,0,3
154.71,Debit,San Diego,Online,34.0,Doctor,157.0,1.0,1523.72,0,2
899.2850000000002,Debit,Austin,Online,54.0,Engineer,30.0,1.0,8654.28,0,1
24.56,Debit,Mesa,Branch,64.0,Doctor,69.00000000000001,1.0,9869.93,0,0
568.07,Debit,Washington,ATM,48.0,Doctor,115.0,1.0,10556.81,0,2
9.61,Debit,San Diego,Online,58.0,Doctor,179.0,1.0,12883.91,0,2
392.96,Debit,Kansas City,Online,24.0,Student,100.00000000000001,1.0,791.65,0,3
716.93,Debit,Milwaukee,Online,60.0,Retired,34.0,1.0,4064.02,0,0
223.85,Debit,Kansas City,ATM,53.0,Engineer,55.0,1.0,2929.91,0,3
230.66,Debit,Houston,Branch,21.0,Student,135.0,1.0,618.05,0,3
442.12,Debit,Los Angeles,Online,19.0,Student,260.0,1.0,1375.8,0,0
644.17,Debit,San Antonio,ATM,29.0,Engineer,72.0,1.0,1143.52,0,2
508.67999999999995,Debit,Mesa,Branch,51.0,Engineer,127.0,1.0,7708.41,0,0
858.63,Debit,San Francisco,Branch,27.0,Student,185.0,1.0,1872.96,0,2
25.36,Debit,Louisville,ATM,57.0,Engineer,78.0,1.0,201.04,0,0
147.62,Debit,Charlotte,Branch,71.0,Retired,133.0,1.0,2115.8,0,1
115.02,Debit,San Antonio,Branch,37.0,Doctor,175.0,1.0,7643.66,0,2
383.37,Debit,Fort Worth,Branch,30.0,Engineer,24.0,1.0,8901.93,0,3
98.54,Debit,El Paso,Online,20.0,Student,167.0,1.0,9383.43,0,3
83.24,Debit,Fort Worth,Branch,55.0,Doctor,164.0,1.0,1181.31,0,3
196.16,Debit,Virginia Beach,Branch,27.0,Engineer,146.0,1.0,9418.86,0,2
129.94,Debit,Las Vegas,ATM,32.0,Engineer,235.0,1.0,7954.919999999999,0,3
306.9,Debit,Colorado Springs,Online,46.0,Engineer,51.00000000000001,1.0,9418.08,0,1
114.98,Debit,Seattle,Online,59.0,Retired,80.0,1.0,6144.68,0,2
756.59,Debit,Sacramento,Branch,27.0,Student,17.0,1.0,420.65,0,2
503.76000000000005,Debit,Los Angeles,Online,22.0,Student,35.0,1.0,447.82,0,0
143.03,Debit,San Antonio,ATM,63.0,Retired,147.0,1.0,7981.450000000001,0,2
899.2850000000002,Debit,Columbus,ATM,53.0,Retired,73.0,1.0,1829.9,0,1
245.54,Debit,New York,ATM,25.0,Student,180.0,1.0,985.0600000000001,0,0
254.37000000000003,Debit,Dallas,Online,51.0,Engineer,174.0,1.0,8849.26,0,1
213.76,Debit,Dallas,ATM,78.0,Retired,282.0,1.0,3528.72,0,1
327.86,Debit,Fresno,Online,40.0,Engineer,104.0,1.0,480.16,0,3
2.5,Debit,San Diego,Online,47.0,Doctor,107.0,1.0,12145.27,0,2
300.08,Debit,Austin,Online,68.0,Doctor,47.0,1.0,13546.75,0,1
56.98,Debit,Oklahoma City,ATM,43.0,Engineer,122.0,1.0,5688.37,0,0
407.65,Debit,Boston,Online,26.0,Engineer,61.99999999999999,1.0,8346.64,0,1
115.83,Debit,Fresno,Branch,39.0,Engineer,167.0,1.0,6481.04,0,3
53.57,Debit,Houston,ATM,69.0,Retired,121.0,1.0,1651.33,0,3
63.34,Debit,Detroit,Online,46.0,Doctor,165.0,1.0,11174.94,0,3
317.87,Debit,Detroit,Online,27.0,Student,91.0,1.0,145.5,0,3
331.65,Debit,Portland,Online,41.0,Engineer,61.00000000000001,1.0,4172.57,0,2
5.04,Debit,Washington,ATM,56.0,Retired,41.0,1.0,5558.36,0,2
214.54,Debit,Detroit,Online,70.0,Doctor,247.0,1.0,11151.53,0,3
598.81,Debit,Philadelphia,Branch,57.0,Doctor,158.0,1.0,1415.52,0,0
841.28,Debit,Tucson,Online,26.0,Student,80.0,1.0,1103.64,0,2
38.15,Debit,Mesa,Online,26.0,Student,107.99999999999999,1.0,303.68,0,0
899.2850000000002,Debit,San Antonio,Branch,58.0,Doctor,144.0,1.0,5541.57,0,2
124.72,Debit,Oklahoma City,Branch,33.0,Engineer,105.0,1.0,6309.8,0,0
302.45,Debit,San Antonio,Branch,78.0,Retired,40.0,1.0,5133.61,0,2
208.04,Debit,Louisville,Online,47.0,Engineer,273.0,1.0,9344.98,0,0
5.77,Debit,Los Angeles,Branch,23.0,Student,254.0,1.0,1117.97,0,0
381.33,Debit,Albuquerque,ATM,56.0,Doctor,75.0,1.0,11835.35,0,1
16.16,Debit,Milwaukee,ATM,50.0,Doctor,123.99999999999999,1.0,14401.17,0,0
486.0799999999999,Debit,Oklahoma City,Online,18.0,Student,68.00000000000001,1.0,1748.69,0,0
336.39,Debit,San Antonio,Branch,21.0,Student,18.0,1.0,1000.46,0,2
899.2850000000002,Debit,Seattle,Online,69.0,Doctor,118.0,1.0,6810.05,0,2
234.57,Debit,Chicago,Online,23.0,Student,120.0,1.0,263.98,0,1
6.0,Debit,Chicago,Online,30.0,Doctor,246.0,1.0,5442.76,0,1
899.2850000000002,Debit,Detroit,ATM,80.0,Retired,21.000000000000004,1.0,2037.85,0,3
227.14,Debit,Charlotte,ATM,18.0,Student,294.0,1.0,341.94,0,1
233.74,Debit,Oklahoma City,Online,66.0,Retired,17.0,1.0,1066.59,0,0
211.36,Debit,Jacksonville,Branch,69.0,Retired,166.0,1.0,6077.96,0,3
45.85,Debit,Los Angeles,ATM,20.0,Student,91.99999999999999,1.0,1659.15,0,0
899.2850000000002,Debit,Sacramento,Branch,77.0,Retired,296.0,1.0,2042.22,0,2
211.36,Debit,New York,Online,41.0,Doctor,142.0,1.0,421.93,0,0
415.5,Debit,Memphis,ATM,66.0,Doctor,141.0,1.0,10113.66,0,0
265.76,Debit,Philadelphia,Online,54.0,Retired,91.99999999999999,1.0,4446.17,0,0
69.4,Debit,Virginia Beach,Online,80.0,Retired,113.0,1.0,6452.77,0,2
332.93,Debit,Albuquerque,Branch,35.0,Engineer,293.0,1.0,2788.2,0,1
267.9,Debit,San Antonio,Online,20.0,Student,160.0,1.0,596.1599999999999,0,2
496.0299999999999,Debit,San Francisco,Branch,61.0,Doctor,265.0,1.0,12904.66,0,2
376.26,Debit,Tucson,ATM,37.0,Engineer,245.0,1.0,9062.4,0,2
83.02,Debit,Seattle,Online,36.0,Engineer,171.0,1.0,9009.56,0,2
93.26,Debit,New York,Online,20.0,Student,72.0,1.0,1152.2,0,0
803.37,Debit,Memphis,Branch,68.0,Doctor,129.0,1.0,12168.37,0,0
35.76,Debit,Charlotte,Branch,23.0,Student,122.0,1.0,611.8599999999999,0,1
28.53,Debit,Washington,Online,62.0,Doctor,99.0,1.0,8670.53,0,2
139.53,Debit,Louisville,Online,53.0,Doctor,177.0,1.0,10098.86,0,0
307.57,Debit,Detroit,Branch,33.0,Doctor,285.0,1.0,5307.74,0,3
60.650000000000006,Debit,Tucson,Branch,56.0,Retired,53.00000000000001,1.0,1047.28,0,2
74.86,Debit,Nashville,Branch,70.0,Doctor,125.0,1.0,6921.48,0,0
211.36,Debit,Kansas City,Branch,51.0,Retired,137.0,1.0,1475.46,0,3
231.91,Debit,Memphis,ATM,34.0,Engineer,165.0,1.0,112.76,0,0
126.20999999999998,Debit,Baltimore,Branch,75.0,Retired,268.0,1.0,5669.66,0,1
506.28,Debit,Chicago,Online,53.0,Retired,162.0,1.0,1309.95,0,1
304.35,Debit,Houston,Branch,31.0,Engineer,36.0,1.0,4057.1,0,3
281.85,Debit,Detroit,ATM,22.0,Student,109.0,1.0,1585.98,0,3
777.88,Debit,Houston,Branch,31.0,Engineer,17.0,1.0,6825.55,0,3
119.18,Debit,Los Angeles,Branch,56.0,Retired,96.0,1.0,5516.5,0,0
177.19,Debit,Chicago,Online,76.0,Retired,43.0,1.0,5343.3,0,1
260.88,Debit,Denver,Branch,22.0,Student,36.0,1.0,903.05,0,3
169.47,Debit,Chicago,Online,24.0,Student,18.999999999999996,1.0,1806.16,0,1
73.23,Debit,Portland,Branch,26.0,Student,14.0,1.0,787.7399999999999,0,2
899.2850000000002,Debit,El Paso,ATM,29.0,Engineer,106.0,1.0,2429.68,0,3
792.57,Debit,Baltimore,ATM,19.0,Student,164.0,1.0,770.37,0,1
237.06,Debit,Phoenix,Online,71.0,Retired,45.99999999999999,1.0,1182.77,0,2
34.17,Debit,Philadelphia,Online,54.0,Engineer,53.99999999999999,1.0,726.55,0,0
740.25,Debit,Philadelphia,Online,41.0,Doctor,123.0,1.0,14464.3,0,0
453.54,Debit,Albuquerque,ATM,58.0,Doctor,82.0,1.0,12046.3,0,1
300.47,Debit,Jacksonville,Branch,73.0,Retired,100.00000000000001,1.0,7885.64,0,3
110.93,Debit,Virginia Beach,Branch,19.0,Student,201.0,1.0,1952.3499999999997,0,2
201.69,Debit,Las Vegas,ATM,59.0,Doctor,299.0,1.0,7328.52,0,3
399.21,Debit,Portland,ATM,59.0,Engineer,109.0,1.0,3210.39,0,2
899.2850000000002,Debit,Jacksonville,Online,78.0,Retired,57.0,1.0,5726.2,0,3
630.36,Debit,Mesa,ATM,62.0,Retired,52.00000000000001,1.0,1363.65,0,0
10.94,Debit,Philadelphia,ATM,60.0,Engineer,245.0,1.0,1241.99,0,0
215.9,Debit,Los Angeles,ATM,38.0,Doctor,235.0,1.0,7873.280000000001,0,0
899.2850000000002,Debit,Washington,Branch,79.0,Retired,165.0,1.0,5674.32,0,2
226.37,Debit,Louisville,Branch,49.0,Doctor,141.0,1.0,9840.04,0,0
444.89,Debit,Las Vegas,Branch,43.0,Doctor,101.0,1.0,10328.23,0,3
280.57,Debit,Virginia Beach,Online,25.0,Student,24.0,1.0,293.24,0,2
488.54,Debit,Jacksonville,Branch,52.0,Engineer,132.0,1.0,7486.63,0,3
3.3,Debit,Los Angeles,Branch,50.0,Doctor,131.0,1.0,11385.37,0,0
199.39,Debit,Colorado Springs,Branch,69.0,Retired,165.0,1.0,7264.79,0,1
20.36,Debit,Tucson,Branch,62.0,Retired,75.0,1.0,2762.48,0,2
113.64,Debit,Detroit,Online,45.0,Retired,32.0,1.0,6675.03,0,3
493.11,Debit,Colorado Springs,Branch,53.0,Retired,236.0,1.0,7432.99,0,1
307.41,Debit,Los Angeles,ATM,19.0,Student,14.0,1.0,1057.0,0,0
11.18,Debit,Atlanta,Online,43.0,Doctor,161.0,1.0,5956.89,0,1
313.82,Debit,Tucson,Branch,59.0,Engineer,151.0,1.0,7261.59,0,2
51.0,Debit,Seattle,Branch,64.0,Retired,107.0,1.0,4943.16,0,2
140.98,Debit,Memphis,Branch,60.0,Engineer,100.00000000000001,1.0,8127.4800000000005,0,0
288.04,Debit,Denver,ATM,68.0,Retired,63.0,1.0,1748.02,0,3
800.55,Debit,Oklahoma City,ATM,31.0,Engineer,107.99999999999999,1.0,9660.22,0,0
485.54,Debit,Houston,ATM,46.0,Engineer,143.0,1.0,6371.51,0,3
521.15,Debit,Kansas City,ATM,54.0,Doctor,214.0,1.0,9442.47,0,3
321.79,Debit,Raleigh,ATM,63.0,Retired,112.0,1.0,5959.2,0,2
304.93,Debit,Portland,ATM,65.0,Doctor,158.0,1.0,13531.22,0,2
432.08,Debit,El Paso,ATM,40.0,Doctor,145.0,1.0,11500.62,0,3
694.2,Debit,Milwaukee,ATM,61.0,Retired,72.0,1.0,1389.37,0,0
116.86,Debit,Louisville,ATM,55.0,Engineer,171.0,1.0,6706.56,0,0
211.36,Debit,Detroit,,57.0,Doctor,149.0,1.0,7175.29,0,3
74.88,Debit,Atlanta,ATM,25.0,Student,202.0,1.0,420.67,0,1
211.36,Debit,Philadelphia,Branch,75.0,Retired,99.0,1.0,7323.53,0,0
134.7,Debit,Fort Worth,ATM,50.0,Doctor,106.0,1.0,8395.85,0,3
890.24,Debit,Las Vegas,Online,33.0,Engineer,161.0,1.0,5140.93,0,3
361.27,Debit,Omaha,ATM,63.0,Doctor,180.0,1.0,7945.57,0,0
131.56,Debit,Charlotte,Branch,44.0,Doctor,42.00000000000001,1.0,5873.54,0,1
485.51,Debit,Milwaukee,Online,76.0,Retired,37.0,1.0,3074.45,0,0
547.87,Debit,Columbus,ATM,64.0,Retired,131.0,1.0,6155.76,0,1
457.3,Debit,Virginia Beach,Online,28.0,Engineer,15.0,1.0,8318.29,0,2
506.24,Debit,Chicago,ATM,58.0,Engineer,64.0,1.0,230.09,0,1
486.59,Debit,Indianapolis,Branch,57.0,Retired,119.0,1.0,2513.56,0,3
163.68,Debit,San Diego,Branch,41.0,Doctor,292.0,1.0,10090.05,0,2
581.65,Debit,Boston,ATM,22.0,Student,176.0,1.0,480.19000000000005,0,1
52.01,Debit,Mesa,ATM,48.0,Doctor,85.0,1.0,1120.88,0,0
630.24,Debit,Boston,ATM,21.0,Student,61.99999999999999,1.0,370.81,0,1
523.74,Debit,Oklahoma City,ATM,43.0,Doctor,159.0,1.0,13498.55,0,0
705.6,Debit,Phoenix,Branch,40.0,Doctor,123.99999999999999,1.0,14804.7,0,2
217.5,Debit,Denver,Branch,46.0,Engineer,35.0,1.0,3057.4,0,3
91.48,Debit,Fort Worth,ATM,51.0,Doctor,141.0,1.0,14942.779999999999,0,3
5.25,Debit,San Jose,ATM,39.0,Doctor,49.0,1.0,14143.32,0,2
54.03,Debit,Milwaukee,ATM,56.0,Retired,161.0,1.0,6736.3,0,0
736.73,Debit,Memphis,Branch,48.0,Engineer,10.0,1.0,3313.07,0,0
368.91,Debit,Virginia Beach,Branch,54.0,Doctor,14.0,1.0,829.7099999999999,0,2
33.06,Debit,Fort Worth,Online,53.0,Retired,170.0,1.0,1540.87,0,3
66.5,Debit,Louisville,Online,32.0,Engineer,144.0,1.0,6820.23,0,0
177.08,Debit,Las Vegas,,35.0,Doctor,85.0,1.0,13475.14,0,3
588.54,Debit,Portland,Branch,32.0,Engineer,130.0,1.0,714.4499999999999,0,2
173.5,Debit,Nashville,ATM,21.0,Student,282.0,1.0,1306.91,0,0
78.33,Debit,Memphis,Online,56.0,Engineer,189.0,1.0,7255.33,0,0
40.66,Debit,Louisville,Branch,59.0,Retired,156.0,1.0,1153.84,0,0
97.22,Debit,Atlanta,Branch,77.0,Retired,55.0,1.0,6647.73,0,1
34.07,Debit,Philadelphia,Branch,22.0,Student,81.0,1.0,8709.77,0,0
492.06000000000006,Debit,Fresno,Online,23.0,Student,74.0,1.0,857.9,0,3
842.01,Debit,Virginia Beach,Online,53.0,Doctor,185.0,1.0,509.45000000000005,0,2
73.55,Debit,Atlanta,ATM,51.0,Engineer,158.0,1.0,2812.06,0,1
760.53,Debit,Phoenix,Online,57.0,Engineer,118.0,1.0,6179.91,0,2
273.08,Debit,Houston,Branch,45.0,Engineer,134.0,1.0,6609.3,0,3
371.69,Debit,San Francisco,Branch,67.0,Retired,143.0,1.0,3484.32,0,2
218.96,Debit,Seattle,ATM,18.0,Student,13.0,1.0,754.21,0,2
227.39,Debit,Atlanta,Online,18.0,Student,65.0,1.0,751.09,0,1
237.99,Debit,Kansas City,Branch,39.0,Doctor,86.0,1.0,8510.09,0,3
186.6,Debit,,Online,58.0,Doctor,13.0,1.0,1508.72,0,2
341.15,Debit,San Jose,Online,18.0,Student,148.0,1.0,511.36999999999995,0,2
434.58,Debit,Memphis,ATM,59.0,Doctor,215.0,1.0,12648.32,0,0
312.88,Debit,Portland,Branch,54.0,Engineer,44.0,1.0,233.21,0,2
75.15,Debit,Boston,ATM,23.0,Student,154.0,1.0,1092.92,0,1
23.3,Debit,Los Angeles,ATM,59.0,Engineer,161.0,1.0,6711.15,0,0
47.38,Debit,Seattle,Online,25.0,Student,61.00000000000001,1.0,459.37,0,2
512.81,Debit,Sacramento,Branch,79.0,Retired,30.0,1.0,6994.34,0,2
488.15000000000003,Debit,Louisville,Branch,43.0,Engineer,168.00000000000003,1.0,7071.09,0,0
12.82,Debit,Fort Worth,ATM,44.0,Engineer,156.0,1.0,9045.19,0,3
66.9,Debit,Charlotte,Online,79.0,Retired,129.0,1.0,5238.71,0,1
535.91,Debit,Las Vegas,Online,43.0,Engineer,22.0,1.0,9642.12,0,3
270.72,Debit,Washington,Online,26.0,Engineer,53.00000000000001,1.0,6263.96,0,2
97.98,Debit,Denver,Branch,72.0,Retired,18.0,1.0,7460.329999999999,0,3
196.08,Debit,San Francisco,Online,61.0,Retired,98.0,1.0,4233.82,0,2
251.18000000000004,Debit,San Jose,ATM,42.0,Engineer,246.0,1.0,8303.9,0,2
44.52,Debit,El Paso,Online,28.0,Student,205.0,1.0,314.28,0,3
178.87,Debit,Baltimore,Online,35.0,Doctor,180.0,1.0,5241.23,0,1
899.2850000000002,Debit,Kansas City,ATM,54.0,Engineer,174.0,1.0,323.69,0,3
386.68,Debit,New York,Branch,46.0,Doctor,128.0,1.0,6863.06,0,0
167.14,Debit,Denver,Online,76.0,Retired,20.0,1.0,3877.7299999999996,0,3
345.22,Debit,Fresno,Branch,69.0,Retired,253.0,1.0,4046.5800000000004,0,3
74.85,Debit,Raleigh,ATM,72.0,Retired,117.0,1.0,2409.73,0,2
671.73,Debit,Washington,Branch,58.0,Engineer,53.99999999999999,1.0,5211.88,0,2
255.03999999999996,Debit,Seattle,ATM,45.0,Engineer,151.99999999999997,1.0,6217.86,0,2
45.77,Debit,Philadelphia,Online,25.0,Student,109.0,1.0,5978.12,0,0
329.69,Debit,San Antonio,Online,26.0,Student,66.0,1.0,1671.66,0,2
362.04,Debit,Philadelphia,Branch,58.0,Doctor,198.0,1.0,8421.88,0,0
11.92,Debit,San Diego,,53.0,Doctor,52.00000000000001,1.0,14611.9,0,2
47.42,Debit,San Diego,ATM,64.0,Doctor,28.0,1.0,8253.52,0,2
35.99,Debit,Miami,Branch,63.0,Retired,129.0,1.0,4489.79,0,0
151.19,Debit,New York,Branch,37.0,Doctor,96.0,1.0,11903.82,0,0
242.62,Debit,San Francisco,Online,22.0,Student,234.0,1.0,483.02000000000004,0,2
48.72,Debit,Virginia Beach,Branch,21.0,Student,17.0,1.0,816.0799999999999,0,2
43.46,Debit,Boston,ATM,25.0,Student,80.0,1.0,578.06,0,1
899.2850000000002,Debit,Omaha,Online,25.0,Student,126.0,1.0,477.3,0,0
443.79,Debit,Las Vegas,ATM,53.0,Retired,87.0,1.0,3133.85,0,3
365.14,Debit,Dallas,Online,68.0,Retired,57.0,1.0,5894.09,0,1
757.41,Debit,Los Angeles,ATM,22.0,Student,37.0,1.0,9532.42,0,0
20.54,Debit,Fort Worth,Branch,51.0,Engineer,72.0,1.0,5327.03,0,3
475.36,Debit,Phoenix,ATM,34.0,Engineer,105.0,1.0,2000.6,0,2
34.74,Debit,San Francisco,ATM,56.0,Retired,24.0,1.0,6827.57,0,2
689.54,Debit,Oklahoma City,Branch,27.0,Student,93.0,1.0,1633.76,0,0
211.18,Debit,Washington,ATM,73.0,Retired,90.0,1.0,4069.1699999999996,0,2
211.36,Debit,Fort Worth,Branch,51.0,Engineer,286.0,1.0,7943.469999999999,0,3
744.41,Debit,Houston,Online,39.0,Engineer,107.0,1.0,8842.47,0,3
61.43,Debit,Phoenix,Online,24.0,Student,170.0,1.0,1882.77,0,2
167.44,Debit,Mesa,Branch,37.0,Doctor,82.0,1.0,12526.71,0,0
361.46,Debit,Nashville,Online,21.0,Student,83.0,1.0,4737.84,0,0
378.85,Debit,Virginia Beach,Branch,78.0,Retired,126.0,1.0,2300.53,0,2
241.10999999999999,Debit,Columbus,Branch,30.0,Doctor,55.0,1.0,12385.05,0,1
131.93,Debit,Fort Worth,Branch,31.0,Engineer,13.0,1.0,4547.06,0,3
20.28,Debit,Oklahoma City,Online,36.0,Engineer,213.0,1.0,2047.83,0,0
415.88,Debit,San Diego,Branch,70.0,Doctor,170.0,1.0,10008.33,0,2
49.99,Debit,Omaha,ATM,62.0,Retired,112.0,1.0,2299.64,0,0
899.2850000000002,Debit,Denver,Online,27.0,Student,153.0,1.0,243.92,0,3
100.66,Debit,Dallas,Branch,50.0,Doctor,144.0,1.0,14473.33,0,1
485.54,Debit,Louisville,Online,19.0,Student,148.0,1.0,1533.32,0,0
321.15,Debit,Los Angeles,Branch,46.0,Doctor,179.0,1.0,7005.05,0,0
711.3,Debit,San Jose,Branch,21.0,Student,51.00000000000001,1.0,955.4,0,2
12.23,Debit,Houston,ATM,42.0,Engineer,139.0,1.0,7844.880000000001,0,3
